OBJECT_NAME,NORAD_CAT_ID,COUNTRY,LAUNCH,LAUNCH_YEAR,SITE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,OBJECT_ID,ORBIT_TYPE
NAVSTAR 86 (USA 585),68791.0,US,2026-04-21,2026.0,AFETR,357.07,55.0,20201.0,387.0,,2026-087A,MEO
AST BLUEBIRD 7,68765.0,US,2026-04-19,2026.0,AFETR,92.05,42.96,485.0,265.0,,2026-085A,LEO
DAQI-2,68760.0,PRC,2026-04-17,2026.0,JSC,98.79,98.29,701.0,701.0,,2026-084A,LEO
CYGNUS NG-24,68689.0,US,2026-04-11,2026.0,AFWTR,92.97,51.63,425.0,415.0,,2026-079A,LEO
STARLINK-37195,68662.0,US,2026-04-11,2026.0,AFWTR,91.42,97.28,345.0,343.0,,2026-077A,LEO
STARLINK-37222,68663.0,US,2026-04-11,2026.0,AFWTR,91.42,97.28,345.0,343.0,,2026-077B,LEO
STARLINK-37153,68664.0,US,2026-04-11,2026.0,AFWTR,91.41,97.28,345.0,343.0,,2026-077C,LEO
STARLINK-37171,68665.0,US,2026-04-11,2026.0,AFWTR,91.42,97.28,345.0,343.0,,2026-077D,LEO
STARLINK-37109,68666.0,US,2026-04-11,2026.0,AFWTR,91.41,97.28,345.0,343.0,,2026-077E,LEO
STARLINK-36295,68667.0,US,2026-04-11,2026.0,AFWTR,91.42,97.28,346.0,342.0,,2026-077F,LEO
STARLINK-37221,68668.0,US,2026-04-11,2026.0,AFWTR,91.34,97.28,341.0,340.0,,2026-077G,LEO
STARLINK-37302,68669.0,US,2026-04-11,2026.0,AFWTR,91.41,97.28,345.0,343.0,,2026-077H,LEO
STARLINK-37298,68670.0,US,2026-04-11,2026.0,AFWTR,91.42,97.28,345.0,343.0,,2026-077J,LEO
STARLINK-37224,68671.0,US,2026-04-11,2026.0,AFWTR,91.38,97.28,343.0,341.0,,2026-077K,LEO
STARLINK-37296,68672.0,US,2026-04-11,2026.0,AFWTR,91.41,97.28,345.0,343.0,,2026-077L,LEO
